2018-09-05 11:27:59,944 INFO  - Initialize application (at simulation time 11.000,000,000 s)
2018-09-05 11:27:59,954 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=998} (at simulation time 11.000,000,010 s)
2018-09-05 11:27:59,964 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=429} (at simulation time 12.000,000,010 s)
2018-09-05 11:27:59,975 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=297} (at simulation time 13.000,000,010 s)
2018-09-05 11:27:59,988 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=757} (at simulation time 14.000,000,010 s)
2018-09-05 11:28:00,003 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=883} (at simulation time 15.000,000,010 s)
2018-09-05 11:28:00,017 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=615} (at simulation time 16.000,000,010 s)
2018-09-05 11:28:00,027 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=637} (at simulation time 17.000,000,010 s)
2018-09-05 11:28:00,043 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=487} (at simulation time 18.000,000,010 s)
2018-09-05 11:28:00,054 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=944} (at simulation time 19.000,000,010 s)
2018-09-05 11:28:00,072 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=699} (at simulation time 20.000,000,010 s)
2018-09-05 11:28:00,082 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=431} (at simulation time 21.000,000,010 s)
2018-09-05 11:28:00,095 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=479} (at simulation time 22.000,000,010 s)
2018-09-05 11:28:00,103 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=834} (at simulation time 23.000,000,010 s)
2018-09-05 11:28:00,123 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=205} (at simulation time 24.000,000,010 s)
2018-09-05 11:28:00,136 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=657} (at simulation time 25.000,000,010 s)
2018-09-05 11:28:00,151 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=510} (at simulation time 26.000,000,010 s)
2018-09-05 11:28:00,160 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=518} (at simulation time 27.000,000,010 s)
2018-09-05 11:28:00,169 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=780} (at simulation time 28.000,000,010 s)
2018-09-05 11:28:00,172 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=654} (at simulation time 29.000,000,010 s)
2018-09-05 11:28:00,187 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_3', id=977} (at simulation time 30.000,000,010 s)
